external_id,name_uz,name_ru,kind,region,district_uz,district_ru,address_uz,address_ru,phone,hours_uz,hours_ru,website,lat,lng,free,services,sections,verified_at
SAMPLE-001,Yunusobod tumani 1-son oilaviy poliklinikasi (namuna),Семейная поликлиника №1 Юнусабадского района (образец),polyclinic,tashkent-city,Yunusobod,Юнусабад,"Namuna koʻchasi, 1","ул. Образцовая, 1",+998712000001,Du–Ju 8:00–18:00,Пн–Пт 8:00–18:00,,41.3650,69.2870,1,mammography;ultrasound;onco_alertness,women,2026-09-01
SAMPLE-002,Chilonzor tumani onkologik ogohlik xonasi (namuna),Кабинет онконастороженности Чиланзарского района (образец),onco_room,tashkent-city,Chilonzor,Чиланзар,"Namuna koʻchasi, 2","ул. Образцовая, 2",+998712000002,Du–Ju 9:00–17:00,Пн–Пт 9:00–17:00,,41.2750,69.2030,1,consultation;onco_alertness;cytology,women,2026-09-01
SAMPLE-003,Respublika onkologiya ilmiy markazi (namuna),Республиканский онкологический научный центр (образец),oncology_centre,tashkent-city,Yakkasaroy,Яккасарай,"Namuna koʻchasi, 3","ул. Образцовая, 3",+998712000003,Du–Sha 8:00–17:00,Пн–Сб 8:00–17:00,https://example.uz,41.2900,69.2500,1,mammography;ultrasound;hpv_test;consultation,both,2026-09-01
SAMPLE-004,Ona va bola salomatligi markazi Toshkent filiali (namuna),Центр здоровья матери и ребёнка — филиал Ташкент (образец),mother_child_centre,tashkent,Zangiota,Зангиата,"Namuna koʻchasi, 4","ул. Образцовая, 4",+998712000004,Du–Ju 8:00–16:00,Пн–Пт 8:00–16:00,,41.2200,69.1300,1,mammography;ultrasound;hpv_test,women,2026-09-01
SAMPLE-005,Bolalar onkogematologiya markazi (namuna),Центр детской онкогематологии (образец),paediatric_oncohaematology,tashkent-city,Mirzo Ulugʻbek,Мирзо-Улугбек,"Namuna koʻchasi, 5","ул. Образцовая, 5",+998712000005,24/7,Круглосуточно,,41.3300,69.3300,1,paediatric_oncology;psychological_support,children,2026-09-01
SAMPLE-006,Samarqand viloyat onkologiya dispanseri (namuna),Самаркандский областной онкологический диспансер (образец),oncology_centre,samarkand,Samarqand sh.,г. Самарканд,"Namuna koʻchasi, 6","ул. Образцовая, 6",+998662000006,Du–Ju 8:00–17:00,Пн–Пт 8:00–17:00,,39.6540,66.9600,1,mammography;consultation;cytology,both,2026-09-01
SAMPLE-007,Fargʻona tumani oilaviy shifokorlik punkti (namuna),Семейный врачебный пункт Ферганского района (образец),svp,fergana,Fargʻona tumani,Ферганский район,"Namuna qishlogʻi, 7","с. Образцовое, 7",+998732000007,Du–Sha 8:00–14:00,Пн–Сб 8:00–14:00,,40.3800,71.7800,1,consultation;onco_alertness,women,2026-09-01
SAMPLE-008,Andijon viloyat onkologiya dispanseri (namuna),Андижанский областной онкологический диспансер (образец),oncology_centre,andijan,Andijon sh.,г. Андижан,"Namuna koʻchasi, 8","ул. Образцовая, 8",+998742000008,Du–Ju 8:00–17:00,Пн–Пт 8:00–17:00,,40.7800,72.3400,1,mammography;ultrasound;consultation,both,2026-09-01
SAMPLE-009,Nukus shahar poliklinikasi (namuna),Городская поликлиника Нукуса (образец),polyclinic,karakalpakstan,Nukus,Нукус,"Namuna koʻchasi, 9","ул. Образцовая, 9",+998612000009,Du–Ju 8:00–18:00,Пн–Пт 8:00–18:00,,42.4600,59.6100,1,ultrasound;onco_alertness,women,2026-09-01
SAMPLE-010,«Umid» bemorlarni qoʻllab-quvvatlash guruhi (namuna),Группа поддержки пациентов «Умид» (образец),ngo,tashkent-city,,,"Namuna koʻchasi, 10","ул. Образцовая, 10",+998712000010,Chor 18:00,Ср 18:00,https://example.uz/umid,41.3100,69.2800,0,psychological_support,both,2026-09-01
SAMPLE-011,Buxoro psixologik yordam markazi (namuna),Центр психологической помощи Бухары (образец),psych_support,bukhara,Buxoro sh.,г. Бухара,"Namuna koʻchasi, 11","ул. Образцовая, 11",+998652000011,Du–Ju 9:00–18:00,Пн–Пт 9:00–18:00,,39.7700,64.4200,0,psychological_support,both,2026-09-01
SAMPLE-012,Xorazm viloyat bolalar shifoxonasi (namuna),Хорезмская областная детская больница (образец),paediatric_oncohaematology,khorezm,Urganch,Ургенч,"Namuna koʻchasi, 12","ул. Образцовая, 12",+998622000012,24/7,Круглосуточно,,41.5500,60.6300,1,paediatric_oncology,children,2026-09-01
